"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","points_vor","rank","floor_vor","floor_rank","ceiling_vor","ceiling_rank"
"0510","Pittsburgh","Steelers","PIT","DST",NA,48,"DST","average",117.2,6,3.86666666666666,31.4134260043908,76.55,131.99,4,-7.98333333333335,122,-12.9916666666667,151,-3.94166666666666,116
"0510","Pittsburgh","Steelers","PIT","DST",NA,48,"DST","robust",116.8,6,4.44999999999999,29.80026,76.55,131.99,4,-7.23333333333333,120,-12.9916666666667,151,-3.94166666666666,116
"0510","Pittsburgh","Steelers","PIT","DST",NA,48,"DST","weighted",117.198231267975,6,4.64712793995331,30.5060540901442,72.4,130.865218023256,4,-7.91421549469381,124,-14.075,155,-3.94417393410853,112
"0511","Denver","Broncos","DEN","DST",NA,48,"DST","average",118.233333333333,4,0.533333333333346,23.0963922146584,84.02,124.61,4,-6.95,119,-5.52166666666666,123,-11.3216666666667,144
"0511","Denver","Broncos","DEN","DST",NA,48,"DST","robust",117.45,5,2.64999999999998,20.60814,84.02,124.61,4,-6.58333333333334,117,-5.52166666666666,123,-11.3216666666667,144
"0511","Denver","Broncos","DEN","DST",NA,48,"DST","weighted",118.019348826023,5,2.54737746645421,22.4341106852444,80.9,123.832165697674,4,-7.09309793664633,121,-5.57499999999999,125,-10.9772262596899,141
"0512","Kansas City","Chiefs","KCC","DST",NA,48,"DST","average",99.1666666666667,20,2.59999999999999,22.8710151356107,75.45,114.6,10,-26.0166666666667,182,-14.0916666666667,157,-21.3316666666667,170
"0512","Kansas City","Chiefs","KCC","DST",NA,48,"DST","robust",98.175,20,1.45,14.0847,75.45,114.6,10,-25.8583333333333,181,-14.0916666666667,157,-21.3316666666667,170
"0512","Kansas City","Chiefs","KCC","DST",NA,48,"DST","weighted",98.2186663860746,20,2.57107346501118,22.4401795715755,74.5,112.69738372093,10,-26.8937803765946,184,-11.975,149,-22.1120082364341,170
"0513","Oakland","Raiders","OAK","DST",NA,48,"DST","average",94.3333333333333,26,0.716666666666669,20.2412944250115,74.62,108.91,12,-30.85,200,-14.9216666666667,161,-27.0216666666667,191
"0513","Oakland","Raiders","OAK","DST",NA,48,"DST","robust",94.25,26,1.3125,10.67472,74.62,108.91,12,-29.7833333333333,199,-14.9216666666667,161,-27.0216666666667,191
"0513","Oakland","Raiders","OAK","DST",NA,48,"DST","weighted",93.5200302638567,27,2.76197326358617,19.8882337118773,73.9,107.18085755814,12,-31.5924164988125,205,-12.575,150,-27.6285343992248,192
"0514","Los Angeles","Chargers","LAC","DST",NA,48,"DST","average",114.366666666667,7,2.96666666666665,28.000952364756,82.6,132.64,4,-10.8166666666667,130,-6.94166666666666,130,-3.29166666666669,111
"0514","Los Angeles","Chargers","LAC","DST",NA,48,"DST","robust",112.8,7,2.16250000000001,32.6172,82.6,132.64,4,-11.2333333333333,130,-6.94166666666666,130,-3.29166666666669,111
"0514","Los Angeles","Chargers","LAC","DST",NA,48,"DST","weighted",113.745711451162,7,3.34536722484441,27.2747230336005,80.4,130.75976744186,4,-11.3667353115073,131,-6.07499999999999,129,-4.04962451550389,113
"0515","Seattle","Seahawks","SEA","DST",NA,48,"DST","average",105.533333333333,15,0.23333333333332,21.67925275465,74.03,111.11,7,-19.65,156,-15.5116666666667,163,-24.8216666666667,182
"0515","Seattle","Seahawks","SEA","DST",NA,48,"DST","robust",104.35,16,0.824999999999989,13.19514,74.03,111.11,7,-19.6833333333333,156,-15.5116666666667,163,-24.8216666666667,182
"0515","Seattle","Seahawks","SEA","DST",NA,48,"DST","weighted",105.569081762519,15,0.846553227309627,21.0947469392716,70.8,110.611962209302,7,-19.5433650001503,159,-15.675,164,-24.197429748062,180
"0516","Dallas","Cowboys","DAL","DST",NA,48,"DST","average",95.0666666666667,23,0.433333333333337,24.2314533887948,75.98,114.95,11,-30.1166666666667,196,-13.5616666666667,154,-20.9816666666667,166
"0516","Dallas","Cowboys","DAL","DST",NA,48,"DST","robust",94.3,25,0.325000000000003,4.15128000000002,75.98,114.95,11,-29.7333333333333,198,-13.5616666666667,154,-20.9816666666667,166
"0516","Dallas","Cowboys","DAL","DST",NA,48,"DST","weighted",93.8428133361393,25,0.191474511218672,24.1129623120302,75.7,112.683648255814,11,-31.26963342653,203,-10.775,146,-22.1257437015504,171
"0517","New York","Giants","NYG","DST",NA,48,"DST","average",94.1666666666667,27,2.93333333333334,16.1707554966777,70.36,95.92,12,-31.0166666666667,201,-19.1816666666667,179,-40.0116666666667,233
"0517","New York","Giants","NYG","DST",NA,48,"DST","robust",93.7,27,3.02500000000001,1.18608,70.36,95.92,12,-30.3333333333333,202,-19.1816666666667,179,-40.0116666666667,233
"0517","New York","Giants","NYG","DST",NA,48,"DST","weighted",94.482424916574,24,0.669694555512123,15.8291967475873,67.6,95.8752325581395,12,-30.6300218460953,198,-18.875,174,-38.9341593992248,230
"0518","Philadelphia","Eagles","PHI","DST",NA,48,"DST","average",134.116666666667,2,13.4,28.3289751550128,91.585,136.765,2,8.93333333333334,78,2.04333333333334,93,0.833333333333314,95
"0518","Philadelphia","Eagles","PHI","DST",NA,48,"DST","robust",132.825,2,13.1875,3.48410999999999,91.585,136.765,2,8.79166666666666,76,2.04333333333334,93,0.833333333333314,95
"0518","Philadelphia","Eagles","PHI","DST",NA,48,"DST","weighted",134.273226006875,2,13.7411688663079,27.7116976482742,86.8,136.633495639535,2,9.16077924420529,78,0.325000000000003,97,1.82410368217054,94
"0519","Arizona","Cardinals","ARI","DST",NA,48,"DST","average",96.8,21,1.09999999999999,15.9675713035306,81.07,106.27,10,-28.3833333333333,188,-8.47166666666668,135,-29.6616666666667,197
"0519","Arizona","Cardinals","ARI","DST",NA,48,"DST","robust",97.125,21,1.46250000000001,1.03782,81.07,106.27,10,-26.9083333333333,185,-8.47166666666668,135,-29.6616666666667,197
"0519","Arizona","Cardinals","ARI","DST",NA,48,"DST","weighted",95.8490715409514,21,0.690622212869158,15.8179356857041,81,104.742311046512,10,-29.2633752217178,193,-5.47499999999999,124,-30.0670809108527,198
"0520","Washington","Redskins","WAS","DST",NA,48,"DST","average",107.166666666667,12,0.575000000000003,22.65972933054,83.12,121.55,6,-18.0166666666667,149,-6.42166666666667,129,-14.3816666666667,152
"0520","Washington","Redskins","WAS","DST",NA,48,"DST","robust",106.875,12,0.662500000000009,12.15732,83.12,121.55,6,-17.1583333333333,146,-6.42166666666667,129,-14.3816666666667,152
"0520","Washington","Redskins","WAS","DST",NA,48,"DST","weighted",106.167744941827,12,0.116506578881442,22.2611579339862,82.3,119.619404069767,6,-18.944701820842,154,-4.175,119,-15.1899878875969,155
"0521","Chicago","Bears","CHI","DST",NA,48,"DST","average",105.1,17,2.30000000000001,27.3665854647598,72.2,121.43,7,-20.0833333333333,160,-17.3416666666667,173,-14.5016666666667,155
"0521","Chicago","Bears","CHI","DST",NA,48,"DST","robust",103,18,4.125,38.10282,72.2,121.43,7,-21.0333333333333,164,-17.3416666666667,173,-14.5016666666667,155
"0521","Chicago","Bears","CHI","DST",NA,48,"DST","weighted",104.997540811111,16,0.74608974937118,26.5774728836011,69.3,119.991845930233,7,-20.1149059515578,162,-17.175,168,-14.8175460271318,154
"0522","Detroit","Lions","DET","DST",NA,48,"DST","average",106.666666666667,13,0.641666666666652,17.152939495414,82.36,113.23,6,-18.5166666666667,151,-7.18166666666667,131,-22.7016666666667,174
"0522","Detroit","Lions","DET","DST",NA,48,"DST","robust",105.825,14,0.824999999999989,24.61116,82.36,113.23,6,-18.2083333333333,149,-7.18166666666667,131,-22.7016666666667,174
"0522","Detroit","Lions","DET","DST",NA,48,"DST","weighted",106.045870787361,14,0.762559500546161,16.670264351816,80.7,112.239520348837,6,-19.0665759753079,156,-5.77499999999999,128,-22.5698716085271,174
"0523","Green Bay","Packers","GBP","DST",NA,48,"DST","average",105.5,16,0.533333333333331,23.4105389372678,84,122.16,6,-19.6833333333333,157,-5.54166666666669,125,-13.7716666666667,148
"0523","Green Bay","Packers","GBP","DST",NA,48,"DST","robust",105.65,15,1.45000000000002,5.9304,84,122.16,6,-18.3833333333333,152,-5.54166666666669,125,-13.7716666666667,148
"0523","Green Bay","Packers","GBP","DST",NA,48,"DST","weighted",104.447516259307,17,2.25658038461152,23.1110081344227,83.6,120.011162790698,6,-20.6649305033621,163,-2.875,114,-14.7982291666667,153
"0524","Minnesota","Vikings","MIN","DST",NA,48,"DST","average",118.2,5,2.41666666666667,20.475920817715,87.57,121.5,4,-6.98333333333333,120,-1.97166666666668,107,-14.4316666666667,153
"0524","Minnesota","Vikings","MIN","DST",NA,48,"DST","robust",117.575,4,0.449999999999989,7.413,87.57,121.5,4,-6.45833333333334,116,-1.97166666666668,107,-14.4316666666667,153
"0524","Minnesota","Vikings","MIN","DST",NA,48,"DST","weighted",118.203720850996,4,0.594930803996448,19.9710049173347,84.3,121.220203488372,4,-6.90872591167363,119,-2.175,110,-13.5891884689922,148
"0525","Tampa Bay","Buccaneers","TBB","DST",NA,48,"DST","average",93.0666666666667,28,3.71666666666667,17.2862180170601,76.38,104.1,12,-32.1166666666667,206,-13.1616666666667,153,-31.8316666666667,205
"0525","Tampa Bay","Buccaneers","TBB","DST",NA,48,"DST","robust",92.175,28,3.12499999999999,2.66868,76.38,104.1,12,-31.8583333333333,206,-13.1616666666667,153,-31.8316666666667,205
"0525","Tampa Bay","Buccaneers","TBB","DST",NA,48,"DST","weighted",92.0777530589544,28,3.03787391395844,17.0957987688225,76.2,102.477180232558,12,-33.0346937037149,211,-10.275,144,-32.3322117248062,204
